Synset,isBasic_percentage,IsNotHard_percentage,TimeDiffs_sum,TimeDiffs_average,Depth
sound.n.01,1.0,1.0,11.042,1.1042,0.25
source.n.03,0.9,1.0,18.062,1.8062,0.35
south_sea_islands.n.01,0.2,0.9,64.321,6.4321,
southwest_by_west.n.01,0.0,1.0,17.944,1.7944,
space.n.07,1.0,1.0,16.108,1.6108,0.35
spaghetti_western.n.01,0.0,1.0,21.236,2.1236,
speech.n.02,1.0,0.9,21.252,2.1252,0.2
sphere.n.01,0.8,0.9,22.203,2.2203,0.3
spinal_column.n.01,0.2,0.9,23.267,2.3266999999999998,0.35
spirit.n.04,1.0,0.9,12.957,1.2957,0.35
sprachgefuhl.n.01,0.0,0.9,63.454,6.3454,
start.n.01,1.0,1.0,11.536999999999999,1.1537,0.3
stationary_stochastic_process.n.01,0.0,1.0,18.067,1.8067,
stature.n.01,0.3,1.0,37.017,3.7017,0.4
step.n.03,1.0,1.0,12.06,1.206,0.45
stopcock.n.01,0.0,1.0,14.985,1.4985,0.55
store.n.02,1.0,1.0,14.728,1.4727999999999999,0.55
strait.n.01,0.2,1.0,60.516999999999996,6.051699999999999,0.25
strand.n.01,0.0,1.0,47.12,4.712,0.3
strange_attractor.n.01,0.0,1.0,21.276,2.1276,
street.n.01,1.0,1.0,9.502,0.9502,0.4
stripe.n.04,0.4,0.9,68.788,6.8788,0.45
striving.n.01,0.0,1.0,15.291,1.5291000000000001,0.35
stuff.n.07,1.0,1.0,16.565,1.6565,0.3
subsidization.n.01,0.0,1.0,13.893,1.3893,0.35
subsistence.n.01,0.0,1.0,25.846,2.5846,0.35
succubus.n.01,0.1,1.0,25.608,2.5608,0.5
sum.n.01,1.0,1.0,15.706,1.5706,0.25
support.n.06,0.9,1.0,16.583,1.6582999999999999,0.3
support_level.n.01,0.2,1.0,21.493,2.1492999999999998,
supporter.n.01,0.7,1.0,20.868000000000002,2.0868,0.4
swiss.n.01,0.5,1.0,21.366,2.1366,0.25
syndicate.n.01,0.1,0.9,23.808,2.3808,0.25
